[merged] L-PHENYLALANINE                 75MG/ML                10ML VIAL                          $160.00
[merged] L-PHENYLALANINE                 75MG/ML                30ML VIAL                          $240.00
[merged] L-PROLINE                       50MG/ML                10ML VIAL                          $160.00
[merged] L-PROLINE                       50MG/ML                30ML VIAL                          $240.00
[merged] L-VALINE                        15MG/ML                10ML VIAL                          $160.00
[merged] L-VALINE                        15MG/ML                30ML VIAL                          $240.00
[merged] LIPO-MINO MIX                   30ML VIAL                                                 $240.00
[merged] M.I.C. (METH/INOS/CHOL)         25/50/50MG/ML          10ML VIAL                          $140.00
[merged] M.I.C. (METH/INOS/CHOL)         25/50/50MG/ML          30ML VIAL                          $200.00
[merged] METHYLCOBALAMIN / L-CARNITINE   5MG/100MG/ML           10ML VIAL                          $160.00
[merged] METHYLCOBALAMIN / L-CARNITINE   5MG/100MG/ML           30ML VIAL                          $240.00
[merged] TRIPLE M.I.C. (METH/INOS/CHOL)   75/150/150MG/ML               10ML VIAL                           $160.00
[merged] TRIPLE M.I.C. (METH/INOS/CHOL)   75/150/150MG/ML               30ML VIAL                           $240.00
[merged] VITAMIN D3 (CHOLECALCIFEROL)     50000IU/ML                    10ML VIAL                           $160.00
[merged] VITAMIN D3 (CHOLECALCIFEROL)     50000IU/ML                    30ML VIAL                           $240.00
[merged] CHO/INO/MET/NAL/SER/TOP          50MG/50MG25MG/8MG/600MCG/15MG CAPSULE                                 $10.00
[merged] METFORMIN HCL                    500MG                         TABLET                                   $1.60
[merged] METFORMIN HCL                    850MG                         TABLET                                   $2.00
[merged] METFORMIN HCL                    1000MG                        TABLET                                   $2.40
[merged] METHYLCOBALAMIN / L-CARNITINE    10MG/100MG                    TROCHE                                   $2.40
SUPPLIES                             INSULIN SYRINGES         10PK/1                                        $10.00
SUPPLIES                             INTRAMUSCULAR SYRINGES                      1                           $1.00
SUPPLIES                             SWABS                                       1                           $0.20
